EntityId,MapSourceId,EntityName,WugType,WugRegion,WugCounty,EntityIsSplit,SourceName,WS2030,WS2040,WS2050,WS2060,WS2070,WS2080
644,668,"COUNTY-OTHER, VAL VERDE",MUNICIPAL,J,VAL VERDE,N,RIO GRANDE RUN-OF-RIVER,360,360,360,360,360,360
645,127,"COUNTY-OTHER, VAN ZANDT",MUNICIPAL,D,VAN ZANDT,N,CARRIZO-WILCOX AQUIFER | VAN ZANDT,2599,2688,2646,2683,2807,2675
645,669,"COUNTY-OTHER, VAN ZANDT",MUNICIPAL,D,VAN ZANDT,N,SABINE RUN-OF-RIVER,170,170,170,170,170,170
646,342,"COUNTY-OTHER, VICTORIA",MUNICIPAL,L,VICTORIA,N,GULF COAST AQUIFER SYSTEM | VICTORIA,2817,2817,2817,2817,2817,2817
647,343,"COUNTY-OTHER, WALKER",MUNICIPAL,H,WALKER,N,GULF COAST AQUIFER SYSTEM | WALKER,1903,1865,1815,1639,1419,1198
647,870,"COUNTY-OTHER, WALKER",MUNICIPAL,H,WALKER,N,YEGUA-JACKSON AQUIFER | WALKER,255,255,255,236,204,173
648,344,"COUNTY-OTHER, WALLER",MUNICIPAL,H,WALLER,N,GULF COAST AQUIFER SYSTEM | WALLER,2341,2341,2341,2341,2341,2341
649,145,"COUNTY-OTHER, WARD",MUNICIPAL,F,WARD,N,EDWARDS-TRINITY-PLATEAU AND PECOS VALLEY AQUIFERS | WARD,158,179,202,223,246,271
649,202,"COUNTY-OTHER, WARD",MUNICIPAL,F,WARD,N,DOCKUM AQUIFER | WARD,15,15,15,15,15,15
650,345,"COUNTY-OTHER, WASHINGTON",MUNICIPAL,G,WASHINGTON,N,GULF COAST AQUIFER SYSTEM | WASHINGTON,1381,1381,1381,1381,1381,1381
651,129,"COUNTY-OTHER, WEBB",MUNICIPAL,M,WEBB,N,CARRIZO-WILCOX AQUIFER | WEBB,20,20,20,20,20,20
651,346,"COUNTY-OTHER, WEBB",MUNICIPAL,M,WEBB,N,GULF COAST AQUIFER SYSTEM | WEBB,146,146,146,146,141,141
651,872,"COUNTY-OTHER, WEBB",MUNICIPAL,M,WEBB,N,YEGUA-JACKSON AQUIFER | WEBB,113,113,113,113,113,113
652,347,"COUNTY-OTHER, WHARTON",MUNICIPAL,K,WHARTON,Y,GULF COAST AQUIFER SYSTEM | WHARTON,2065,2065,2065,2065,2065,2065
652,347,"COUNTY-OTHER, WHARTON",MUNICIPAL,P,WHARTON,Y,GULF COAST AQUIFER SYSTEM | WHARTON,442,442,442,442,442,442
653,505,"COUNTY-OTHER, WHEELER",MUNICIPAL,A,WHEELER,N,OGALLALA AQUIFER | WHEELER,233,223,213,204,194,184
653,592,"COUNTY-OTHER, WHEELER",MUNICIPAL,A,WHEELER,N,OTHER AQUIFER | WHEELER,22,22,22,22,22,22
654,386,"COUNTY-OTHER, WICHITA",MUNICIPAL,B,WICHITA,N,RED INDIRECT REUSE,117,116,116,114,113,113
654,705,"COUNTY-OTHER, WICHITA",MUNICIPAL,B,WICHITA,N,SEYMOUR AQUIFER | WICHITA,90,90,90,90,90,90
654,830,"COUNTY-OTHER, WICHITA",MUNICIPAL,B,WICHITA,N,LITTLE WICHITA RIVER LAKE/RESERVOIR SYSTEM,215,198,183,169,155,141
654,1098,"COUNTY-OTHER, WICHITA",MUNICIPAL,B,WICHITA,N,CROSS TIMBERS AQUIFER | WICHITA,70,70,70,70,70,70
655,667,"COUNTY-OTHER, WILBARGER",MUNICIPAL,B,WILBARGER,N,RED RUN-OF-RIVER,81,81,81,81,81,81
655,706,"COUNTY-OTHER, WILBARGER",MUNICIPAL,B,WILBARGER,N,SEYMOUR AQUIFER | WILBARGER,122,118,115,109,103,98
656,6,"COUNTY-OTHER, WILLACY",MUNICIPAL,M,WILLACY,N,AMISTAD-FALCON LAKE/RESERVOIR SYSTEM,486,486,486,485,485,485
656,348,"COUNTY-OTHER, WILLACY",MUNICIPAL,M,WILLACY,N,GULF COAST AQUIFER SYSTEM | WILLACY,561,561,561,561,561,561
657,54,"COUNTY-OTHER, WILLIAMSON",MUNICIPAL,G,WILLIAMSON,Y,BRAZOS RIVER AUTHORITY LITTLE RIVER LAKE/RESERVOIR SYSTEM,1707,1821,2025,2299,2583,2581
