EntityId,EntityName,WugType,WugRegion,WugCounty,EntityIsSplit,P2030,P2040,P2050,P2060,P2070,P2080
123,ROUND ROCK,MUNICIPAL,K,TRAVIS,Y,1995,2439,2824,3205,3639,4130
125,SAN ANGELO,MUNICIPAL,F,TOM GREEN,N,103937,112120,119305,126371,134086,142509
129,SEGUIN,MUNICIPAL,L,GUADALUPE,N,50517,59570,63909,66466,69091,71790
130,SEAGOVILLE,MUNICIPAL,C,DALLAS,N,20875,22892,23964,24593,25285,26047
131,SHARYLAND WSC,MUNICIPAL,M,HIDALGO,N,88944,97326,102604,103989,105371,106749
134,SPRINGS HILL WSC,MUNICIPAL,L,GUADALUPE,Y,50116,59398,69687,80515,92811,106774
134,SPRINGS HILL WSC,MUNICIPAL,L,WILSON,Y,244,354,461,556,664,789
136,SULPHUR SPRINGS,MUNICIPAL,D,HOPKINS,N,16070,16393,16829,17091,17350,17611
137,SWEETWATER,MUNICIPAL,G,NOLAN,N,11590,11502,11345,11157,10962,10768
139,TERRELL,MUNICIPAL,C,KAUFMAN,N,24866,28404,34827,40479,47940,53769
140,TEXARKANA,MUNICIPAL,D,BOWIE,N,36860,36651,36360,35844,35322,34795
144,TYLER,MUNICIPAL,D,SMITH,Y,796,718,666,594,524,456
144,TYLER,MUNICIPAL,I,SMITH,Y,118744,133041,149059,157803,167059,176859
151,VALLEY MUD 2,MUNICIPAL,M,CAMERON,N,3079,3159,3186,3175,3163,3151
152,WACO,MUNICIPAL,G,MCLENNAN,N,156758,171499,184144,197795,213102,230264
153,WALNUT CREEK SUD,MUNICIPAL,C,PARKER,Y,20927,22831,31740,47518,66114,84631
153,WALNUT CREEK SUD,MUNICIPAL,C,WISE,Y,3707,3965,5477,8249,11667,14935
154,WAXAHACHIE,MUNICIPAL,C,ELLIS,N,48394,59800,72197,84724,98504,113667
155,WEATHERFORD,MUNICIPAL,C,PARKER,N,45410,54197,64123,74543,86019,98660
156,WEST CEDAR CREEK MUD,MUNICIPAL,C,HENDERSON,Y,4847,4501,4969,4973,4973,4968
156,WEST CEDAR CREEK MUD,MUNICIPAL,C,KAUFMAN,Y,227,276,339,410,488,575
158,WEST HARRIS COUNTY REGIONAL WATER AUTHORITY,MUNICIPAL,H,FORT BEND,Y,11047,11291,11807,12343,12748,13141
158,WEST HARRIS COUNTY REGIONAL WATER AUTHORITY,MUNICIPAL,H,HARRIS,Y,587400,608870,614044,616828,633481,649291
160,WICHITA FALLS,MUNICIPAL,B,WICHITA,N,100573,99786,97318,93793,90388,87098
162,439 WSC,MUNICIPAL,G,BELL,N,8084,9457,10729,11803,12590,13019
163,ABERNATHY,MUNICIPAL,O,HALE,Y,2355,2549,2750,2971,3267,3688
163,ABERNATHY,MUNICIPAL,O,LUBBOCK,Y,779,805,832,860,891,926
164,ABLES SPRINGS SUD,MUNICIPAL,C,KAUFMAN,Y,5944,6183,7218,8131,9208,9669
164,ABLES SPRINGS SUD,MUNICIPAL,D,HUNT,Y,619,670,715,753,792,830
164,ABLES SPRINGS SUD,MUNICIPAL,D,VAN ZANDT,Y,35,37,39,42,44,46
165,ACTON MUD,MUNICIPAL,G,HOOD,Y,11497,12488,13563,14732,16001,17380
165,ACTON MUD,MUNICIPAL,G,JOHNSON,Y,71,64,57,51,46,41
166,ADDISON,MUNICIPAL,C,DALLAS,N,20465,23069,24456,25276,26179,27173
