EntityId,MapSourceId,EntityName,WugType,WugRegion,WugCounty,EntityIsSplit,SourceName,SourceType,WmsId,WmsSponsorRegion,WmsName,WmsType,SS2030,SS2040,SS2050,SS2060,SS2070,SS2080
540,854,"COUNTY-OTHER, KAUFMAN",MUNICIPAL,C,KAUFMAN,N,WRIGHT PATMAN LAKE/RESERVOIR,SURFACE WATER,4767,C,WRIGHT PATMAN REALLOCATION FOR NTMWD AND TRWD,OTHER SURFACE WATER,0,0,0,0,0,204
540,953,"COUNTY-OTHER, KAUFMAN",MUNICIPAL,C,KAUFMAN,N,SABINE INDIRECT REUSE,REUSE,5874,C,NTMWD - SABINE CREEK WWTP REUSE,INDIRECT REUSE,0,7,20,29,25,30
540,1068,"COUNTY-OTHER, KAUFMAN",MUNICIPAL,C,KAUFMAN,N,NORTH TEXAS MWD LAKE/RESERVOIR SYSTEM,SURFACE WATER,4864,C,NTMWD - ADDITIONAL MEASURES TO ACCESS FULL LAVON YIELD,OTHER SURFACE WATER,0,27,40,42,26,25
540,1068,"COUNTY-OTHER, KAUFMAN",MUNICIPAL,C,KAUFMAN,N,NORTH TEXAS MWD LAKE/RESERVOIR SYSTEM,SURFACE WATER,6292,C,NTMWD - TEXOMA BLENDING,OTHER SURFACE WATER,17,78,208,246,293,315
540,1123,"COUNTY-OTHER, KAUFMAN",MUNICIPAL,C,KAUFMAN,N,TRINITY AQUIFER ASR | TARRANT,GROUNDWATER,4936,C,TRWD - AQUIFER STORAGE AND RECOVERY PILOT,AQUIFER STORAGE AND RECOVERY,2,1,4,3,2,2
541,,"COUNTY-OTHER, KENDALL",MUNICIPAL,L,KENDALL,N,DEMAND REDUCTION,DEMAND REDUCTION,5932,L,"MUNICIPAL WATER CONSERVATION - WATER USE REDUCTION - COUNTY-OTHER, KENDALL",MUNICIPAL CONSERVATION,36,81,167,282,435,632
541,,"COUNTY-OTHER, KENDALL",MUNICIPAL,L,KENDALL,N,DEMAND REDUCTION,DEMAND REDUCTION,7168,L,"MUNICIPAL WATER CONSERVATION - WATER LOSS MITIGATION - COUNTY-OTHER, KENDALL",MUNICIPAL CONSERVATION,24,24,28,35,42,50
541,90,"COUNTY-OTHER, KENDALL",MUNICIPAL,L,KENDALL,N,CARRIZO-WILCOX AQUIFER | GONZALES,GROUNDWATER,999,L,GBRA WATERSECURE,GROUNDWATER WELLS AND OTHER,0,34,51,51,52,43
541,879,"COUNTY-OTHER, KENDALL",MUNICIPAL,L,KENDALL,N,GBRA LOWER BASIN OFF-CHANNEL LAKE/RESERVOIR,SURFACE WATER,999,L,GBRA WATERSECURE,NEW MAJOR RESERVOIR,0,324,314,314,313,320
541,1066,"COUNTY-OTHER, KENDALL",MUNICIPAL,L,KENDALL,N,CARRIZO-WILCOX AQUIFER ASR | GONZALES,GROUNDWATER,999,L,GBRA WATERSECURE,AQUIFER STORAGE AND RECOVERY,0,195,188,188,188,190
541,1067,"COUNTY-OTHER, KENDALL",MUNICIPAL,L,KENDALL,N,RAINWATER HARVESTING,SURFACE WATER,6386,L,"RAINWATER HARVESTING - COUNTY-OTHER, KENDALL",OTHER STRATEGIES,0,31,37,45,55,65
542,,"COUNTY-OTHER, KENEDY",MUNICIPAL,N,KENEDY,N,DEMAND REDUCTION,DEMAND REDUCTION,5148,N,MUNICIPAL CONSERVATION - COUNTY OTHER (KENEDY),MUNICIPAL CONSERVATION,15,28,38,45,51,54
543,700,"COUNTY-OTHER, KENT",MUNICIPAL,G,KENT,N,SEYMOUR AQUIFER | KENT,GROUNDWATER,5789,G,SEYMOUR AQUIFER DEVELOPMENT,GROUNDWATER WELLS AND OTHER,20,20,20,20,20,20
544,,"COUNTY-OTHER, KERR",MUNICIPAL,J,KERR,N,DEMAND REDUCTION,DEMAND REDUCTION,3300,J,J-37 COMMUNITY WATER GROUP WSC (KERR COUNTY-OTHER) - WATER LOSS AUDIT AND MAIN-LINE REPAIR,MUNICIPAL CONSERVATION,1,1,1,1,1,1
544,237,"COUNTY-OTHER, KERR",MUNICIPAL,J,KERR,N,EDWARDS-TRINITY-PLATEAU AQUIFER | KERR,GROUNDWATER,7237,J,J-38 KERR COUNTY OTHER (PURCHASE WATER FROM EKCRWSP),GROUNDWATER WELLS AND OTHER,102,102,102,102,102,102
544,787,"COUNTY-OTHER, KERR",MUNICIPAL,J,KERR,N,TRINITY AQUIFER | KERR,GROUNDWATER,5360,J,J-34 EKCRWSP - TRINITY AQUIFER GROUNDWATER DEVELOPMENT,GROUNDWATER DESALINATION,0,860,860,806,806,806
