EntityId,EntityName,WugType,WugRegion,WugCounty,EntityIsSplit,N2030,N2040,N2050,N2060,N2070,N2080
328,CANTON,MUNICIPAL,D,VAN ZANDT,N,0,0,0,0,197,400
329,CANYON,MUNICIPAL,A,RANDALL,N,0,511,1171,1812,2408,2991
331,CARRIZO SPRINGS,MUNICIPAL,L,DIMMIT,N,0,0,0,0,0,0
332,CARROLLTON,MUNICIPAL,C,DALLAS,Y,761,1253,1828,2330,2870,3199
332,CARROLLTON,MUNICIPAL,C,DENTON,Y,1192,1968,2866,3647,4493,5005
335,CASTROVILLE,MUNICIPAL,L,MEDINA,N,533,634,786,999,1194,1322
337,CELESTE,MUNICIPAL,D,HUNT,N,14,19,24,28,32,35
338,CELINA,MUNICIPAL,C,COLLIN,Y,3385,11663,25232,28733,38107,48570
338,CELINA,MUNICIPAL,C,DENTON,Y,65,222,495,574,777,991
339,CENTERVILLE,MUNICIPAL,H,LEON,N,0,0,0,0,0,0
341,CENTRAL WCID OF ANGELINA COUNTY,MUNICIPAL,I,ANGELINA,N,0,0,0,0,0,0
342,CHALK BLUFF WSC,MUNICIPAL,G,MCLENNAN,N,0,0,31,111,190,270
343,CHANDLER,MUNICIPAL,I,HENDERSON,N,0,0,43,281,573,934
344,CHARLOTTE,MUNICIPAL,L,ATASCOSA,N,0,0,0,0,0,0
345,CHATFIELD WSC,MUNICIPAL,C,NAVARRO,N,0,9,32,54,79,105
346,CHICO,MUNICIPAL,C,WISE,N,28,48,60,71,81,89
347,CHILDRESS,MUNICIPAL,A,CHILDRESS,N,0,0,0,0,0,0
348,CHILDRESS CREEK WSC,MUNICIPAL,G,BOSQUE,Y,0,0,0,0,0,0
348,CHILDRESS CREEK WSC,MUNICIPAL,G,MCLENNAN,Y,0,0,0,0,0,0
350,CHIMNEY HILL MUD,MUNICIPAL,H,HARRIS,N,0,0,0,0,0,0
351,CHINA,MUNICIPAL,I,JEFFERSON,N,0,0,0,0,0,0
355,CIBOLO,MUNICIPAL,L,GUADALUPE,N,0,0,93,738,1476,2321
356,CIMARRON PARK WATER,MUNICIPAL,K,HAYS,N,0,0,0,0,0,0
362,CISCO,MUNICIPAL,G,EASTLAND,N,0,0,0,0,0,12
363,CLARENDON,MUNICIPAL,A,DONLEY,N,0,0,0,0,0,0
